iter	Passed	Remaining
941	7272	447
942	7286	440
943	7292	432
944	7301	424
945	7309	417
946	7315	409
947	7320	401
948	7326	393
949	7334	386
950	7341	378
951	7346	370
952	7352	362
953	7359	354
954	7364	347
955	7378	339
956	7391	332
957	7396	324
958	7402	316
959	7409	308
960	7417	301
961	7425	293
962	7431	285
963	7436	277
964	7442	269
965	7447	262
966	7455	254
967	7463	246
968	7469	238
969	7476	231
970	7481	223
971	7497	215
972	7507	208
973	7534	201
974	7539	193
975	7546	185
976	7556	177
977	7562	170
978	7572	162
979	7577	154
980	7583	146
981	7588	139
982	7594	131
983	7603	123
984	7611	115
985	7617	108
986	7622	100
987	7628	92
988	7634	84
989	7642	77
990	7647	69
991	7653	61
992	7658	53
993	7665	46
994	7676	38
995	7681	30
996	7687	23
997	7692	15
998	7698	7
999	7706	0
